cities	x	y	yield
FLOREST?POLIS	458.6956427	7468.266538	6.84
FL?RIDA	403.0806668	7444.566304	6.37
FORMOSA_DO_OESTE	263.3412255	7311.472118	6.4
FOZ_DO_IGUA?U	149.7287711	7179.07776	6.32
FOZ_DO_JORD?O	390.5713797	7157.142419	3.69
FRANCISCO_ALVES	207.9734093	7332.295514	5.4
FRANCISCO_BELTR?O	286.6550263	7117.29661	5.4
GENERAL_CARNEIRO	460.9758082	7071.992751	0
GODOY_MOREIRA	407.7455603	7327.788966	4.2
GOIOER?	291.6129288	7325.137131	5.7
GOIOXIM	399.7059399	7220.335579	4.8
GRANDES_RIOS	454.4983491	7324.605115	4.8
GUA?RA	171.7339263	7320.718438	5.83
GUAIRA??	321.5666811	7463.975752	3
GUAMIRANGA	516.2539428	7216.186895	6.2
GUAPIRAMA	594.2739826	7404.384426	5.95
GUAPOREMA	313.1503722	7419.31155	4.5
GUARACI	430.4364622	7461.153672	4.68
GUARANIA?U	311.8659687	7227.770455	5.95
GUARAPUAVA	450.2159958	7193.175859	0
GUARAQUE?ABA	765.2220388	7206.446169	0
GUARATUBA	723.7267117	7142.602535	0
HON?RIO_SERPA	362.8466205	7105.646955	0
IBAITI	572.5826966	7370.186318	5
IBEMA	296.0887578	7216.519889	6.45
IBIPOR?	496.0542649	7430.311415	6.6
ICARA?MA	235.7532408	7412.769557	4
IGUARA?U	413.5128579	7430.773738	6.2
IGUATU	288.9510902	7267.95431	7.13
IMBA?	526.1869015	7297.179163	5
IMBITUVA	534.8221128	7209.975783	7.5
IN?CIO_MARTINS	480.2179069	7164.838705	5.2
INAJ?	374.1832344	7486.894284	0
INDIAN?POLIS	329.1623061	7401.588391	4.9
IPIRANGA	541.8975943	7236.226514	5
IPOR?	223.3560602	7338.114129	4
IRACEMA_DO_OESTE	261.5787355	7295.238891	5.5
IRATI	517.5060727	7180.988193	7
IRETAMA	387.3105368	7306.309726	5
ITAGUAJ?	400.5163862	7494.26903	4.5
ITAIPUL?NDIA	161.4391738	7213.670133	6.7
ITAMBARAC?	560.0403277	7458.27573	5.88
ITAMB?	397.2245063	7377.974221	5.1
ITAPEJARA_D'OESTE	317.4237375	7124.583095	7
ITAPERU?U	652.1300002	7220.302897	0
ITA?NA_DO_SUL	305.0897863	7485.250084	4.2
IVA?	514.094602	7236.498133	5
IVAIPOR?	436.1367724	7314.483765	4.8
IVAT?	252.1333422	7415.288924	4
IVATUBA	379.9290243	7389.743394	5.83
JABOTI	593.7838014	7376.679929	5.2
JACAREZINHO	607.7463525	7439.415756	5.95
JAGUAPIT?	443.0801623	7449.043593	5.28
JAGUARIA?VA	631.3751637	7308.568654	5
JANDAIA_DO_SUL	430.2044379	7386.827099	4.8
JANI?POLIS	315.9948046	7330.499271	4.2
JAPIRA	585.3081229	7374.967975	5.2
JAPUR?	342.5683297	7407.094414	4.7
JARDIM_ALEGRE	421.7817297	7322.69443	4.8
JARDIM_OLINDA	389.0629988	7503.228441	5.46
JATAIZINHO	507.7581862	7428.646816	5.77
JESU?TAS	255.5380428	7297.896209	6
JOAQUIM_T?VORA	611.2974436	7405.523901	5.7
JUNDIA?_DO_SUL	578.4178119	7403.865135	6.69
JURANDA	313.8122917	7300.517593	6.35
JUSSARA	352.2496819	7384.420605	4
KALOR?	429.7050477	7361.428549	5.4
LAPA	613.1742397	7149.286592	0
LARANJAL	349.4606746	7245.072586	4.6
LARANJEIRAS_DO_SUL	360.9281591	7196.085152	5.45
LE?POLIS	529.625564	7453.494306	5.77
LIDIAN?POLIS	434.9392533	7335.862898	4.46
LINDOESTE	242.3861663	7203.609176	6.2
LOANDA	287.6197074	7460.695188	4.4
LOBATO	398.8009011	7458.175555	6.45
LONDRINA	488.7457671	7399.444481	5.7
LUIZIANA	365.0122538	7306.538034	5.95
LUNARDELLI	421.6284706	7336.651773	4.46
LUPION?POLIS	431.8030601	7486.504846	6.2
MALLET	514.3454348	7136.7894	6.5
MAMBOR?	338.7952694	7304.824512	5.7
MANDAGUA?U	392.0396872	7425.268504	5.45
MANDAGUARI	427.79153	7402.934644	5
MANDIRITUBA	668.1441695	7140.80024	0
MANFRIN?POLIS	265.5047674	7111.658405	4.5
MANGUEIRINHA	379.0507064	7120.09336	6.5
MANOEL_RIBAS	435.0340021	7291.499288	4.8
MARECHAL_C?NDIDO_RONDON	182.1864094	7278.857907	6.5
MARIA_HELENA	273.3247767	7390.222522	0
MARIALVA	411.3721162	7397.517828	5
MARIL?NDIA_DO_SUL	471.0891404	7370.768844	6
MARILENA	287.9996858	7484.606537	5.6
MARILUZ	275.2859842	7338.136512	6
MARING?	401.1362551	7411.81056	5.5
MARI?POLIS	342.2632716	7086.141168	6
MARIP?	217.2306008	7293.330077	7
MARMELEIRO	290.9762876	7095.317055	4.5
MARQUINHO	373.6455285	7223.273604	5.25
MARUMBI	432.7873398	7372.806132	4.4
MATEL?NDIA	207.626718	7192.975467	7.2
MATINHOS	745.2964587	7148.346332	0
MATO_RICO	377.4981234	7267.546522	4.8
MAU?_DA_SERRA	481.7883947	7355.576808	0
MEDIANEIRA	188.689182	7202.434433	7
MERCEDES	176.8674168	7294.033287	6
MIRADOR	321.2562579	7432.988767	5.5
MIRASELVA	450.2531435	7459.406861	6.6
MISSAL	173.1962596	7220.564336	7.19
MOREIRA_SALES	296.0799547	7341.579185	4.5
MORRETES	715.4928008	7175.899891	0
MUNHOZ_DE_MELO	424.7928964	7441.971487	6.2
NOSSA_SENHORA_DAS_GRA?AS	418.1772526	7465.800721	6.1
NOVA_ALIAN?A_DO_IVA?	335.125577	7436.851501	4.5
NOVA_AM?RICA_DA_COLINA	530.0130196	7418.212618	5.64
NOVA_AURORA	269.2870368	7288.251287	6.69
NOVA_CANTU	342.3194176	7271.864933	5.82
NOVA_ESPERAN?A	371.911009	7434.722861	5
NOVA_ESPERAN?A_DO_SUDOESTE	273.8813765	7133.619762	5
NOVA_F?TIMA	547.1310426	7410.123122	5.77
NOVA_LARANJEIRAS	341.8968604	7210.478873	5.95
NOVA_LONDRINA	299.3113466	7478.875907	5
NOVA_OL?MPIA	288.806741	7406.907643	4
NOVA_PRATA_DO_IGUA?U	261.0857889	7167.530424	4
NOVA_SANTA_B?RBARA	526.3044731	7390.749547	5.57
NOVA_SANTA_ROSA	199.8902748	7293.554299	7.19
NOVA_TEBAS	404.283026	7294.584873	4.8
NOVO_ITACOLOMI	445.6978938	7369.965254	5.45
ORTIGUEIRA	505.3878877	7330.811893	5
OURIZONA	374.2567413	7405.091533	5.65
OURO_VERDE_DO_OESTE	205.7807736	7254.814282	7.15
PAI?ANDU	385.3706527	7404.563336	4.8
PALMAS	418.8126038	7074.127375	0
PALMEIRA	594.8587072	7185.656119	0
PALMITAL	372.1335014	7248.200775	4.2
PALOTINA	213.1082232	7312.122766	6.5
PARA?SO_DO_NORTE	332.7958724	7425.936345	5
PARANACITY	382.5492134	7472.898384	5.95
PARANAGU?	748.8102633	7174.556869	0
PARANAPOEMA	386.7189735	7493.635289	5.7
PARANAVA?	345.1459948	7464.212229	4
PATO_BRAGADO	171.0820465	7271.571641	6.6
PATO_BRANCO	333.7880702	7104.534865	7.4
PAULA_FREITAS	513.9325736	7104.658011	0
PAULO_FRONTIN	525.1965049	7117.568285	0
PEABIRU	365.2789158	7352.272433	5.24
PEROBAL	259.2866484	7352.252102	4
P?ROLA	224.2440365	7361.838402	3.3
P?ROLA_D'OESTE	223.5000709	7138.002983	4.5
PI?N	654.677094	7113.425454	0
PINHAIS	685.5661577	7187.276165	0
PINHAL_DE_S?O_BENTO	252.0085248	7120.227905	4.5
PINHAL?O	595.6112131	7356.146446	5.1
PINH?O	436.6036088	7147.963498	0
PIRA?_DO_SUL	607.6705418	7293.296117	6.5
PIRAQUARA	695.8298225	7181.271297	0
PITANGA	421.0843191	7269.051833	4.5
PITANGUEIRAS	441.4317468	7433.244407	5.22
PLANALTINA_DO_PARAN?	301.8577212	7445.050932	5
PLANALTO	228.356499	7150.685768	6.2
PONTA_GROSSA	592.6329095	7219.084422	6
PONTAL_DO_PARAN?	754.1680236	7162.645633	0
PORECATU	457.9734341	7484.974228	4.8
PORTO_AMAZONAS	610.980912	7175.959838	0
PORTO_BARREIRO	361.1644201	7169.577364	5.7
PORTO_RICO	262.6882052	7473.075789	4
PORTO_VIT?RIA	477.8500227	7099.241024	2.35
PRADO_FERREIRA	458.7943424	7453.495659	5.7
PRANCHITA	227.4772174	7125.165689	4.8
PRESIDENTE_CASTELO_BRANCO	382.507806	7426.88556	5
PRIMEIRO_DE_MAIO	492.4807429	7471.55562	6
PRUDENT?POLIS	489.41673	7221.101745	3.2
QUARTO_CENTEN?RIO	281.2117292	7310.550002	6.2
QUATIGU?	609.0014673	7393.88916	5.5
QUATRO_BARRAS	701.7680555	7192.648455	0
QUATRO_PONTES	198.4944644	7279.209794	6.9
QUEDAS_DO_IGUA?U	303.4381942	7183.023848	6
QUER?NCIA_DO_NORTE	241.5537126	7449.538042	6.1
QUINTA_DO_SOL	383.8534549	7364.01772	4.8
QUITANDINHA	652.0773701	7133.368009	0
RAMIL?NDIA	189.9229072	7220.968251	5
RANCHO_ALEGRE	508.233736	7447.56579	5.77
RANCHO_ALEGRE_D'OESTE	301.0002565	7312.142693	6.18
REALEZA	244.7117386	7158.025066	4.8
REBOU?AS	538.03748	7162.111955	7
RENASCEN?A	305.1570133	7097.758445	4.5
RESERVA	504.3804268	7279.869728	4.5
RESERVA_DO_IGUA?U	403.4474732	7138.615139	3.5
RIBEIR?O_CLARO	626.601128	7426.795267	5.95
RIBEIR?O_DO_PINHAL	563.9140629	7406.715076	5.22
RIO_AZUL	520.1818494	7155.165666	6.5
RIO_BOM	455.8293544	7368.152151	6
RIO_BONITO_DO_IGUA?U	337.899583	7174.474851	5.7
RIO_BRANCO_DO_IVA?	466.2236734	7307.342966	4.8
RIO_BRANCO_DO_SUL	666.5415216	7225.502103	0
RIO_NEGRO	631.6285214	7113.192766	0
ROL?NDIA	458.0790825	7426.023937	6.45
RONCADOR	372.2534741	7282.536088	4.4
RONDON	315.7525936	7402.476074	4.5
ROS?RIO_DO_IVA?	479.3354743	7310.838032	4.8
SAB?UDIA	440.2796275	7417.811568	5.4
SALGADO_FILHO	258.246708	7106.799205	4.5
SALTO_DO_ITARAR?	634.3272456	7385.994358	6.2
SALTO_DO_LONTRA	270.6706613	7147.234506	5.7
SANTA_AM?LIA	560.3891102	7427.702063	5.26
SANTA_CEC?LIA_DO_PAV?O	520.6818692	7396.2344	5.66
SANTA_CRUZ_DE_MONTE_CASTELO	257.9606853	7445.13862	6.1
SANTA_F?	414.5782743	7449.599819	5.82
SANTA_HELENA	166.06559	7243.236764	6.12
SANTA_IN?S	407.27303	7489.060519	5.8
SANTA_ISABEL_DO_IVA?	270.5386039	7442.056997	6.1
SANTA_IZABEL_DO_OESTE	257.0764705	7146.000433	6.1
SANTA_L?CIA	243.0574534	7189.502689	6.7
SANTA_MARIA_DO_OESTE	406.482713	7244.572298	4.6
SANTA_MARIANA	547.2307711	7449.739804	6.06
SANTA_M?NICA	284.118166	7437.968275	6
SANTA_TEREZA_DO_OESTE	237.0789833	7228.439556	7.19
SANTA_TEREZINHA_DE_ITAIPU	155.2785818	7179.981683	6.45
SANTANA_DO_ITARAR?	639.3825645	7372.686499	6.2
SANTO_ANT?NIO_DA_PLATINA	593.485709	7423.361889	6.69
SANTO_ANT?NIO_DO_CAIU?	360.6384196	7489.359516	0
SANTO_ANT?NIO_DO_PARA?SO	537.7331904	7392.195959	5.42
SANTO_ANT?NIO_DO_SUDOESTE	236.5669639	7114.31854	5
SANTO_IN?CIO	416.9982688	7486.783008	5.7
S?O_CARLOS_DO_IVA?	348.837002	7418.101235	5.4
S?O_JER?NIMO_DA_SERRA	522.5940469	7377.170482	5.95
S?O_JO?O	320.1532471	7148.039356	5
S?O_JO?O_DO_CAIU?	363.4468836	7473.744593	4.21
S?O_JO?O_DO_IVA?	413.8317668	7346.33512	4.5
S?O_JO?O_DO_TRIUNFO	571.5245938	7160.556492	0
S?O_JORGE_DO_IVA?	365.5062176	7407.780171	5.3
S?O_JORGE_DO_PATROC?NIO	199.5450557	7371.612393	0
S?O_JORGE_D'OESTE	305.2759681	7161.014887	6.2
S?O_JOS?_DA_BOA_VISTA	635.2333516	7349.680456	6.69
S?O_JOS?_DAS_PALMEIRAS	184.5545984	7251.905403	6.8
S?O_JOS?_DOS_PINHAIS	691.2355525	7160.145872	0
S?O_MANOEL_DO_PARAN?	335.2025906	7414.363648	5.4
S?O_MATEUS_DO_SUL	555.8130189	7134.302156	0
S?O_MIGUEL_DO_IGUA?U	171.781513	7188.057212	6.69
S?O_PEDRO_DO_IGUA?U	207.9774481	7242.336088	5.5
S?O_PEDRO_DO_IVA?	411.2232289	7362.652622	5.2
S?O_PEDRO_DO_PARAN?	276.0939533	7478.706117	4
S?O_SEBASTI?O_DA_AMOREIRA	528.3543628	7406.046105	6.26
S?O_TOM?	342.9274091	7397.591887	4.6
SAPOPEMA	540.2815889	7359.55295	0
SARANDI	411.4453172	7404.439258	5.2
SAUDADE_DO_IGUA?U	338.9878204	7154.831321	7
SENG?S	656.7027258	7317.368659	5
SERRAN?POLIS_DO_IGUA?U	195.5421475	7178.872417	7.2
SERTANEJA	512.9216615	7463.79531	5.89
SERTAN?POLIS	492.5707916	7450.170631	6.12
SIQUEIRA_CAMPOS	623.1429145	7385.261696	5.95
SULINA	327.4260358	7157.264301	6.2
TAMARANA	494.6812328	7365.419448	4.62
TAMBOARA	347.697449	7433.537106	5.4
TAPEJARA	307.2512115	7382.356522	2.5
TAPIRA	282.0079696	7418.168679	4
TEIXEIRA_SOARES	559.5812207	7200.20335	7.5
TEL?MACO_BORBA	548.4757229	7318.059518	0
TERRA_BOA	358.8699204	7378.604132	4.5
TERRA_RICA	327.2874233	7485.562954	6
TERRA_ROXA	188.8917338	7319.292127	6.6
TIBAGI	553.8153104	7273.013884	6.5
TIJUCAS_DO_SUL	689.0994493	7133.843093	0
TOLEDO	218.7087382	7264.803042	7
TOMAZINA	605.7590304	7375.814185	5.1
TR?S_BARRAS_DO_PARAN?	276.2846778	7184.586235	7
TUNAS_DO_PARAN?	711.7202134	7238.683025	0
TUNEIRAS_DO_OESTE	312.3077981	7357.947238	4.25
TUP?SSI	246.0474265	7272.083687	6.7
TURVO	451.3886019	7233.562468	4.5
UBIRAT?	295.1630398	7288.393089	6.5
UMUARAMA	253.6889321	7379.197306	0
UNI?O_DA_VIT?RIA	492.5129661	7112.229114	0
UNIFLOR	386.4148854	7448.633766	5.5
URA?	517.4068867	7432.502926	5.52
VENTANIA	576.6558524	7326.023372	6
VERA_CRUZ_DO_OESTE	205.6078441	7230.754659	7.44
VER?	303.8045263	7136.691694	5
VIRMOND	375.659971	7189.124276	6.2
VITORINO	319.4083861	7091.712875	6
WENCESLAU_BRAZ	623.7985189	7361.295182	6.69
XAMBR?	235.6784476	7372.663579	3.7
